INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods
4,0.1,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,5.50492405803391e-10,2.24647099775315e-09,2.18542550618832e-09,1.31659788746273e-09,2.01229853506258e-09,1.59562739478774e-09,1.81351366122411e-09,1.9127051393705e-09
4,0.1,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,1.31104242418187e-09,2.89852060719955e-09,2.72341951871992e-09,1.56834906199308e-09,2.53910580349545e-09,2.07625857708269e-09,2.31943061583783e-09,2.43508489151648e-09
4,0.1,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,3.89051167970017e-09,2.56607386825689e-09,2.1629274933911e-09,1.09256927329742e-09,2.01358704461207e-09,1.65067347776807e-09,1.84072367490486e-09,1.94947390678696e-09
4,0.1,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,7.42857468826233e-09,1.52824532602423e-09,1.08422861230934e-09,6.7370928008639e-10,9.53700957378503e-10,8.30987692193947e-10,8.90962953413801e-10,9.55658270498959e-10
4,0.1,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,1.49376022235395e-08,2.38962242376565e-09,2.18348023546979e-09,3.17131365939624e-09,2.05278170266947e-09,2.48096001017858e-09,2.2413000930439e-09,2.18121288348559e-09
4,0.1,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,2.89240423767724e-08,1.71484446843329e-08,1.74153389810933e-08,1.90450566321202e-08,1.72635433465271e-08,1.86497786730261e-08,1.78880135478446e-08,1.76299353395852e-08
4,0.1,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,2.11276099725352e-08,6.88124991246138e-09,6.93826338040518e-09,8.57137320165525e-09,6.79015727957142e-09,7.65716215823077e-09,7.17826344161172e-09,7.01936766804818e-09
4,0.1,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,3.29820878634993e-08,2.4389487785108e-08,2.46602294737232e-08,2.59193757799557e-08,2.45309370624433e-08,2.61721063789148e-08,2.52719053464637e-08,2.49760456060598e-08
4,0.1,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,3.65981078377874e-08,3.18829020371731e-08,3.20715109045792e-08,3.27885570828375e-08,3.19875095002528e-08,3.38471850741275e-08,3.2828765354632e-08,3.25073163527351e-08
4,0.1,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,3.91704332744747e-08,3.78049240825103e-08,3.78718189510846e-08,3.80823360085901e-08,3.78425942042405e-08,3.98531334999293e-08,3.87533557807375e-08,3.84178267520866e-08
4,0.2,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,2.3649378972551e-09,9.83962132553534e-09,9.85750377920379e-09,6.07709345199242e-09,9.2578659171711e-09,8.27263060299697e-09,8.79517805719903e-09,9.06632421214186e-09
4,0.2,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,5.66813798529353e-09,1.25544812905492e-08,1.22306604424224e-08,7.19393816454732e-09,1.16070732535471e-08,1.05201663535601e-08,1.10987225569856e-08,1.14192125804183e-08
4,0.2,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,1.67687895721331e-08,1.05510682018946e-08,9.50503045898982e-09,4.88704452825986e-09,9.04736340457972e-09,8.19230214403342e-09,8.64943907067275e-09,8.95776295450228e-09
4,0.2,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,3.19237569025166e-08,5.64497713409878e-09,4.49332080434261e-09,2.83746533574629e-09,4.12651870159489e-09,3.81326388318928e-09,3.97753650866102e-09,4.17288334497898e-09
4,0.2,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,6.38004032283873e-08,9.24055053628627e-09,9.06044027095159e-09,1.35040752733262e-08,8.67573020381345e-09,9.57950421104916e-09,9.08051247214871e-09,8.92882876451968e-09
4,0.2,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,1.22397289377345e-07,7.27067883051103e-08,7.41611477406768e-08,8.11123349727391e-08,7.36119739328465e-08,7.65211897428826e-08,7.49256788929484e-08,7.42976180673053e-08
4,0.2,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,8.98430667143713e-08,2.87572277022516e-08,2.95627674938568e-08,3.66918659958682e-08,2.90739185125231e-08,3.09164478252249e-08,2.99036415664095e-08,2.94921430023028e-08
