INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods
4,0.1,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,4.77940652813828e-10,1.66961892269063e-09,1.68718966521589e-09,1.02087515231118e-09,1.66636686705567e-09,1.25244956709389e-09,1.47027786629788e-09,1.54435966578995e-09
4,0.1,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,1.1914090645168e-09,2.07387322918754e-09,2.06078123397002e-09,1.13783936616321e-09,2.04129538386126e-09,1.57944768868544e-09,1.8233553537625e-09,1.91072766168502e-09
4,0.1,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,3.6706135379133e-09,1.39706346778724e-09,1.31011567975468e-09,4.78137374504948e-10,1.31714802810895e-09,9.54401494791998e-10,1.14413373113447e-09,1.21918015003729e-09
4,0.1,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,7.14073341342645e-09,2.46390394577081e-10,1.91615887831902e-10,1.00492125260747e-12,1.98787305115757e-10,7.59202168169731e-11,1.35503802507069e-10,1.63801052718872e-10
4,0.1,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,1.46072370612962e-08,1.2572619713356e-09,1.43499871667746e-09,2.57887878645323e-09,1.39976312762755e-09,1.82774623880038e-09,1.58766961284092e-09,1.49537503178633e-09
4,0.1,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,2.86983529917106e-08,1.66297224420133e-08,1.70874121338487e-08,1.87631267974097e-08,1.69664143655117e-08,1.835253949628e-08,1.75906258052601e-08,1.7320218232013e-08
4,0.1,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,2.08207742677372e-08,6.00266376724088e-09,6.37280491657574e-09,8.10846518207584e-09,6.28859500001329e-09,7.1554505056513e-09,6.67622568999121e-09,6.49331178628693e-09
4,0.1,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,3.28194115018957e-08,2.40583434764189e-08,2.4450318888163e-08,2.57332799106028e-08,2.43382440964167e-08,2.59793232224787e-08,2.50790603482234e-08,2.47763601441999e-08
4,0.1,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,3.6505812219081e-08,3.17165544660426e-08,3.19639734413616e-08,3.26902693912642e-08,3.18875037062215e-08,3.37471153651326e-08,3.2728690135793e-08,3.24044254609615e-08
4,0.1,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,3.91411102417233e-08,3.77575652821512e-08,3.78399148686191e-08,3.80525070687379e-08,3.78126315762404e-08,3.98231410368294e-08,3.87233738666818e-08,3.83871953243208e-08
4,0.2,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,2.0957783643384e-09,7.48923931532e-09,7.54918486180754e-09,4.57964659766272e-09,7.46665890362483e-09,6.50262978166212e-09,7.01864112975176e-09,7.19960678178411e-09
4,0.2,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,5.20928709973548e-09,9.30314435173089e-09,9.22476937738486e-09,5.1082306260625e-09,9.14803178917784e-09,8.07441447714222e-09,8.65013692164546e-09,8.87392915013296e-09
4,0.2,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,1.59201950160035e-08,6.23331234474508e-09,5.86943672164667e-09,2.1542486035138e-09,5.89362628842203e-09,5.04669641885573e-09,5.49824159325136e-09,5.70096781948437e-09
4,0.2,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,3.08209359593738e-08,1.09842003845276e-09,8.63399021678546e-10,3.11278367239183e-12,8.92660928015193e-10,5.84444738682747e-10,7.44010712949308e-10,8.27774540767018e-10
4,0.2,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,6.25694151307959e-08,5.48557862746665e-09,6.24057093953546e-09,1.11950778927146e-08,6.09362261612228e-09,6.99967911229351e-09,6.49749051369255e-09,6.25347980778813e-09
4,0.2,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,1.21613759867579e-07,7.11640839366244e-08,7.30592845088915e-08,8.01235753075184e-08,7.25612266247984e-08,7.54705916176354e-08,7.38742871477513e-08,7.32189540653013e-08
4,0.2,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,8.87308685981135e-08,2.5982698399074e-08,2.75408245096688e-08,3.4974088207066e-08,2.71899786458815e-08,2.90335806971091e-08,2.80187377101816e-08,2.75440518184528e-08
4,0.2,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,1.38702159368005e-07,1.02330987127247e-07,1.03936961627317e-07,1.09300133164483e-07,1.03480129095693e-07,1.06891713876763e-07,1.05023413843422e-07,1.04326949069182e-07
4,0.2,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,1.53929066064384e-07,1.34172826806923e-07,1.35173841526918e-07,1.38187720109175e-07,1.34866059939988e-07,1.38694940516241e-07,1.36602549007743e-07,1.35897323646691e-07
4,0.2,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,1.64786405128276e-07,1.59108175037425e-07,1.59434731169072e-07,1.60313542081154e-07,1.59327081662869e-07,1.63436147771028e-07,1.61194538734555e-07,1.60495932617016e-07
4,0.5,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,1.73172200455055e-08,6.56409549142002e-08,6.59915545865412e-08,4.01906366250224e-08,6.53482592338364e-08,6.18668657532525e-08,6.37464321662541e-08,6.45096241845519e-08
4,0.5,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,4.26312820389472e-08,8.16446237723346e-08,8.07573096765956e-08,4.49679912201718e-08,8.01628967792913e-08,7.62725983205149e-08,7.83759384911151e-08,7.94310845404563e-08
4,0.5,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,1.2721860727168e-07,5.41321431615706e-08,5.11551919512929e-08,1.90776709492111e-08,5.12995641966067e-08,4.82415481299799e-08,4.98895034418509e-08,5.09252817172097e-08
4,0.5,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,2.42642941564927e-07,9.51344644152964e-09,7.55690719807894e-09,7.36201331759869e-12,7.78523627340398e-09,6.63599829956702e-09,7.25156037392693e-09,7.72005045322256e-09
4,0.5,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,4.81356397876559e-07,4.45222507470637e-08,5.04759311682387e-08,8.97721731823078e-08,4.93385599600775e-08,5.22591699849055e-08,5.06428287586829e-08,4.94116496827036e-08
4,0.5,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,9.05991246369856e-07,5.45333602796731e-07,5.59005570935169e-07,6.10540945421191e-07,5.55416460402466e-07,5.64039410046482e-07,5.59281462276725e-07,5.56597554224345e-07
4,0.5,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,6.72251491373014e-07,2.05954964516136e-07,2.17801443706205e-07,2.7471238808822e-07,2.15152393404579e-07,2.2092606119125e-07,2.17732328408977e-07,2.1548267122122e-07
4,0.5,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,1.02501885323391e-06,7.70297790072493e-07,7.81544609672392e-07,8.19662809776502e-07,7.78348250366274e-07,7.88133018415348e-07,7.82752700536994e-07,7.80204184293204e-07
4,0.5,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,1.12980264126834e-06,9.94003433716128e-07,1.00080692622375e-06,1.02172658830226e-06,9.9872020997169e-07,1.00936200110567e-06,1.00353736095351e-06,1.00127949106587e-06
4,0.5,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,1.2038610794585e-06,1.16537352543093e-06,1.1675219803668e-06,1.17352439578312e-06,1.166816598583e-06,1.17796994053981e-06,1.17189063027324e-06,1.16991006592268e-06
4,1,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,1.10277852934613e-07,4.60600563767011e-07,4.62187656337393e-07,2.82865637070846e-07,4.57844423133649e-07,4.45384933460349e-07,4.52118850703169e-07,4.55606359290965e-07
4,1,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,2.67221808170168e-07,5.74907505441757e-07,5.67512762102585e-07,3.18591649408007e-07,5.63483846619973e-07,5.49434445838733e-07,5.57044503343021e-07,5.62442757847201e-07
4,1,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,7.68419389674954e-07,3.74686426357095e-07,3.54596395734845e-07,1.35575010108817e-07,3.55242696712446e-07,3.4429742892792e-07,3.50225397124007e-07,3.55737284300163e-07
4,1,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,1.43039123304889e-06,6.54760648569538e-08,5.23405764390421e-08,5.47478447520554e-12,5.37801471965104e-08,4.96718895535513e-08,5.19079511732175e-08,5.45011520848541e-08
4,1,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,2.73370529585747e-06,2.75692475979201e-07,3.11769701363072e-07,5.45771651938929e-07,3.04957768100852e-07,3.14159831647621e-07,3.09012177248644e-07,3.02950232641006e-07
4,1,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,4.88715643184144e-06,3.07564974291862e-06,3.14666805258858e-06,3.41354512857451e-06,3.12789359753571e-06,3.15104781569676e-06,3.1381010934604e-06,3.12781224359686e-06
4,1,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,3.72507639726731e-06,1.22679974906855e-06,1.29403009544522e-06,1.61340938577541e-06,1.27897555464613e-06,1.2960553313597e-06,1.28646792295564e-06,1.27633611503256e-06
4,1,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,5.45924736711136e-06,4.22264202858522e-06,4.27832757444189e-06,4.46734319745987e-06,4.2624082101244e-06,4.28725613303684e-06,4.27345582254936e-06,4.26478803015553e-06
4,1,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,5.95291871243777e-06,5.31356580653189e-06,5.34575173921854e-06,5.445445255579e-06,5.33585521002685e-06,5.36148937437065e-06,5.34738231081654e-06,5.34079706325791e-06
4,1,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,6.29680286409609e-06,6.11962042941321e-06,6.12938984555928e-06,6.15718646052608e-06,6.12618546615081e-06,6.15201088542493e-06,6.13791825491289e-06,6.13301989116718e-06
3,0.1,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,1.58822613767968e-10,1.10942570386742e-09,1.12962826061694e-09,7.7364846255375e-10,1.11582741615298e-09,9.53643293312764e-10,1.03584911156858e-09,1.06782180142977e-09
3,0.1,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,4.31028066088622e-10,1.75757558960268e-09,1.76901649816162e-09,1.17329316205932e-09,1.7517129325031e-09,1.54634766357966e-09,1.65098066961402e-09,1.69402188338375e-09
3,0.1,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,1.5551399148567e-09,2.24898928545306e-09,2.16891825026868e-09,1.3021392207923e-09,2.16866781378529e-09,1.93946588625257e-09,2.05651480426739e-09,2.11512229950979e-09
3,0.1,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,3.47659305432529e-09,1.58896134041021e-09,1.46656332888794e-09,7.00098578490785e-10,1.47103949788045e-09,1.28341717870705e-09,1.37918788952004e-09,1.43601400454633e-09
3,0.1,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,8.78446154143228e-09,2.48208739573957e-11,6.27934921074704e-12,8.48096535382434e-11,7.1451498819593e-12,2.52575523214322e-14,2.15552818986832e-12,5.55833193130498e-12
3,0.1,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,2.32505805125883e-08,8.89612175252062e-09,9.34315584076257e-09,1.07108558371587e-08,9.29947001912171e-09,9.7790453098422e-09,9.52756801831179e-09,9.36680712492667e-09
3,0.1,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,1.44085710700655e-08,1.18226522394194e-09,1.37622314771749e-09,2.22910083225166e-09,1.35977410001559e-09,1.54980482367339e-09,1.44916484711598e-09,1.38074875486868e-09
