INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods
4,0.1,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,3.12041053579863e-07,3.24414434323417e-07,3.28031198142198e-07,3.22310353718753e-07,3.23420957434019e-07,3.22844972960825e-07,3.23113219443479e-07,3.24311809978387e-07
4,0.1,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,1.994232886186e-07,2.10179132682292e-07,2.1279504911352e-07,2.0821580036373e-07,2.091339872577e-07,2.0877295093598e-07,2.08942173480917e-07,2.09893412352705e-07
4,0.1,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,9.82384611049279e-08,1.05361747193957e-07,1.07040980668202e-07,1.03977801711246e-07,1.04561377301672e-07,1.04415906214591e-07,1.04486421566737e-07,1.05081346520303e-07
4,0.1,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,5.80024965271826e-08,6.30872888702043e-08,6.4022516180128e-08,6.18168439282469e-08,6.22159385392747e-08,6.21307486457865e-08,6.21751906514154e-08,6.26302025948494e-08
4,0.1,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,2.67480894456411e-08,2.9462600553232e-08,2.97653379691152e-08,2.8493621059225e-08,2.8689482486269e-08,2.86500501680212e-08,2.867290245162e-08,2.89657633866477e-08
4,0.1,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,6.81948326128157e-09,7.46155727310411e-09,7.47238325272358e-09,7.07770964495338e-09,7.11033954163867e-09,7.10035902840895e-09,7.10685578177107e-09,7.21233128835071e-09
4,0.1,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,1.52313148677788e-08,1.67926726408547e-08,1.68967803078564e-08,1.60900688637698e-08,1.61918777714182e-08,1.61693880482278e-08,1.61832311658927e-08,1.63829682278737e-08
4,0.1,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,3.84374164164485e-09,4.17470529665102e-09,4.17164371334384e-09,3.94179804830476e-09,3.9545425036918e-09,3.9489840550844e-09,3.95268214036074e-09,4.01631938147979e-09
4,0.1,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,1.71064460845563e-09,1.84238542197035e-09,1.83784111264532e-09,1.73302067936034e-09,1.7359639536432e-09,1.73353157340789e-09,1.73517397454394e-09,1.76506175602798e-09
4,0.1,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,4.286869949363e-10,4.58529006114913e-10,4.56915109613363e-10,4.30187596871722e-10,4.30372958791061e-10,4.29773639137412e-10,4.30180886950772e-10,4.37945449404133e-10
4,0.2,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,6.99243422950506e-07,7.53737754712293e-07,7.62223818306159e-07,7.46184989859034e-07,7.51317324546667e-07,7.49983804295754e-07,7.5060528054843e-07,7.53441011515734e-07
4,0.2,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,4.43238593503512e-07,4.90284598790158e-07,4.96369548047777e-07,4.83427493716656e-07,4.876869944859e-07,4.86849856433522e-07,4.87241683201476e-07,4.8950968054049e-07
4,0.2,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,2.14341000029963e-07,2.45107428527901e-07,2.48949878078687e-07,2.4038363911473e-07,2.43113884382177e-07,2.42773591388347e-07,2.42940863945707e-07,2.44353124016407e-07
